offset,opcode,kind,target
0x001058,0x4EB9,jsr_abs_l,0x00006722
0x0010DC,0x4EB9,jsr_abs_l,0x00006544
0x0010F8,0x4EB9,jsr_abs_l,0x0000F4C2
0x00112A,0x4EB9,jsr_abs_l,0x00006722
0x0011C0,0x4EB9,jsr_abs_l,0x0000E37E
0x0011C6,0x4EB9,jsr_abs_l,0x0000E50E
0x0011CC,0x4EB9,jsr_abs_l,0x0000E556
0x0011D2,0x4EB9,jsr_abs_l,0x0000E5C4
0x0011E4,0x4EB9,jsr_abs_l,0x0000EA30
0x0011F2,0x4EB9,jsr_abs_l,0x0000E9D0
0x001212,0x4EB9,jsr_abs_l,0x0000E9D0
0x00122A,0x4EB9,jsr_abs_l,0x0000EBD6
0x001258,0x4EB9,jsr_abs_l,0x0000E400
0x00125E,0x4EB9,jsr_abs_l,0x0000E556
0x001264,0x4EB9,jsr_abs_l,0x0000E5C4
0x001276,0x4EB9,jsr_abs_l,0x0000EA30
0x00127C,0x4EB9,jsr_abs_l,0x0000E8BC
0x001282,0x4EB9,jsr_abs_l,0x0000EA0E
0x001288,0x4EB9,jsr_abs_l,0x0000EBD6
0x0012D4,0x4EB9,jsr_abs_l,0x0000E556
0x0012E6,0x4EB9,jsr_abs_l,0x0000EA30
0x0012EC,0x4EB9,jsr_abs_l,0x0000EA54
0x0012F2,0x4EB9,jsr_abs_l,0x0000E8E6
0x0012F8,0x4EB9,jsr_abs_l,0x0000EBD6
0x00133E,0x4EB9,jsr_abs_l,0x0000E50E
0x001352,0x4EB9,jsr_abs_l,0x0000EBD6
0x00136E,0x4EB9,jsr_abs_l,0x0000EF48
0x001374,0x4EB9,jsr_abs_l,0x00006722
0x001394,0x4EB9,jsr_abs_l,0x00006722
0x0013CE,0x4EB9,jsr_abs_l,0x0000E50E
0x0013D8,0x4EB9,jsr_abs_l,0x0000EA7A
0x0013EE,0x4EB9,jsr_abs_l,0x0000EBD6
0x001422,0x4EB9,jsr_abs_l,0x0000F3C2
0x00143E,0x4EB9,jsr_abs_l,0x0000EBD6
0x001456,0x4EB9,jsr_abs_l,0x0000F3C2
0x00145C,0x4EB9,jsr_abs_l,0x0000E864
0x00146A,0x4EB9,jsr_abs_l,0x0000EBD6
0x0014D8,0x4EB9,jsr_abs_l,0x0000EB2A
0x0014E6,0x4EB9,jsr_abs_l,0x0000EB74
0x001572,0x4EB9,jsr_abs_l,0x00006544
0x001584,0x4EB9,jsr_abs_l,0x0000F4C2
0x001620,0x4EB9,jsr_abs_l,0x00006544
0x001632,0x4EB9,jsr_abs_l,0x0000F4C2
0x00170C,0x4EB9,jsr_abs_l,0x0000E37E
0x001712,0x4EB9,jsr_abs_l,0x0000E48E
0x001718,0x4EB9,jsr_abs_l,0x0000E47C
0x001736,0x4EB9,jsr_abs_l,0x0000E5DA
0x00173E,0x4EB9,jsr_abs_l,0x0000E9D0
0x00175C,0x4EB9,jsr_abs_l,0x0000EBD6
0x0017CA,0x4EB9,jsr_abs_l,0x00006544
0x0017DE,0x4EB9,jsr_abs_l,0x0000F4C2
0x001808,0x4EB9,jsr_abs_l,0x0000F4C2
0x001854,0x4EB9,jsr_abs_l,0x0000EBD6
0x001884,0x4EB9,jsr_abs_l,0x0000EA7A
0x0018A2,0x4EB9,jsr_abs_l,0x0000E7CC
0x0018BC,0x4EB9,jsr_abs_l,0x0000E87A
0x0018C8,0x4EB9,jsr_abs_l,0x0000ED54
0x0018E0,0x4EB9,jsr_abs_l,0x0000F4D4
0x0018F8,0x4EB9,jsr_abs_l,0x00006544
0x00196E,0x4EB9,jsr_abs_l,0x0000EBD6
0x001976,0x4EB9,jsr_abs_l,0x0000EF48
0x0019A8,0x4EB9,jsr_abs_l,0x00006722
0x0019C8,0x4EB9,jsr_abs_l,0x00006722
0x0019E2,0x4EB9,jsr_abs_l,0x0000EBD6
0x001A0E,0x4EB9,jsr_abs_l,0x0000E50E
0x001A28,0x4EB9,jsr_abs_l,0x0000EBD6
